,CO2 (ppm),PM1 (ug/m3),PM2.5 (ug/m3),PM10 (ug/m3),Temperature (C),Humidity (%),Position,Floor No.,Weather,Occupancy_Classified
285,1924.0,36.0,57.0,64.0,25.9,13.9,3,2.0,4,2
286,1920.0,37.0,58.0,65.0,25.9,13.9,3,2.0,4,2
287,1917.0,38.0,58.0,64.0,25.9,13.9,3,2.0,4,2
288,1914.0,38.0,58.0,64.0,25.8,13.9,3,2.0,4,2
289,1912.0,37.0,57.0,62.0,25.9,13.9,3,2.0,4,2
290,1911.0,37.0,58.0,62.0,25.8,13.9,3,2.0,4,2
291,1910.0,37.0,58.0,61.0,25.8,13.9,3,2.0,4,2
292,1908.0,36.0,57.0,60.0,25.8,13.9,3,2.0,4,2
293,1907.0,37.0,58.0,61.0,25.8,13.9,3,2.0,4,2
294,1920.0,36.0,57.0,60.0,25.9,13.9,3,2.0,4,2
295,2050.0,37.0,58.0,61.0,25.9,13.9,3,2.0,4,2
296,2122.0,36.0,58.0,61.0,25.9,13.9,3,2.0,4,1
297,2161.0,36.0,58.0,61.0,25.8,13.9,3,2.0,4,1
298,2166.0,38.0,59.0,62.0,25.8,13.9,3,2.0,4,1
299,2166.0,38.0,59.0,62.0,25.8,13.9,3,2.0,4,1
300,2166.0,37.0,58.0,61.0,25.8,13.9,3,2.0,4,1
301,2146.0,38.0,58.0,61.0,25.8,13.9,3,2.0,4,1
302,2102.0,37.0,57.0,60.0,25.8,13.9,3,2.0,4,1
303,2067.0,37.0,56.0,59.0,25.8,13.9,3,2.0,4,1
304,2044.0,37.0,56.0,58.0,25.7,13.9,3,2.0,4,1
305,2024.0,37.0,55.0,58.0,25.7,13.8,3,2.0,4,1
306,2012.0,37.0,55.0,57.0,25.7,13.9,3,2.0,4,1
307,2000.0,37.0,55.0,56.0,25.7,13.8,3,2.0,4,1
308,1985.0,37.0,56.0,57.0,25.7,13.8,3,2.0,4,1
309,1972.0,37.0,56.0,57.0,25.7,13.8,3,2.0,4,1
310,1956.0,37.0,55.0,57.0,25.7,13.9,3,2.0,4,1
311,1942.0,37.0,55.0,58.0,25.7,13.8,3,2.0,4,1
312,1927.0,37.0,55.0,59.0,25.7,13.9,3,2.0,4,1
313,1917.0,37.0,55.0,59.0,25.7,13.9,3,2.0,4,0
314,1905.0,37.0,55.0,59.0,25.7,13.9,3,2.0,4,0
315,1897.0,37.0,55.0,60.0,25.7,13.8,3,2.0,4,0
316,1889.0,37.0,56.0,60.0,25.7,13.8,3,2.0,4,0
317,1883.0,37.0,57.0,60.0,25.7,13.8,3,2.0,4,0
318,1874.0,37.0,57.0,61.0,25.7,13.8,3,2.0,4,0
319,1865.0,38.0,57.0,61.0,25.7,13.9,3,2.0,4,0
320,1854.0,38.0,57.0,61.0,25.7,13.8,3,2.0,4,0
321,1841.0,38.0,57.0,60.0,25.7,13.8,3,2.0,4,0
322,1828.0,38.0,57.0,60.0,25.7,13.8,3,2.0,4,0
323,1812.0,38.0,57.0,60.0,25.7,13.8,3,2.0,4,0
324,1801.0,38.0,57.0,60.0,25.7,13.8,3,2.0,4,0
325,1790.0,38.0,58.0,60.0,25.7,13.8,3,2.0,4,0
326,1782.0,38.0,58.0,61.0,25.7,13.8,3,2.0,4,0
327,1775.0,38.0,59.0,61.0,25.7,13.8,3,2.0,4,0
328,1770.0,38.0,59.0,62.0,25.7,13.8,3,2.0,4,0
329,1764.0,38.0,59.0,62.0,25.7,13.8,3,2.0,4,0
330,1759.0,38.0,58.0,62.0,25.7,13.8,3,2.0,4,0
331,1753.0,38.0,58.0,62.0,25.6,13.8,3,2.0,4,0
332,1749.0,37.0,57.0,61.0,25.7,13.8,3,2.0,4,0
333,1745.0,37.0,57.0,60.0,25.6,13.8,3,2.0,4,0
334,1741.0,36.0,56.0,60.0,25.6,13.8,3,2.0,4,0
335,1738.0,36.0,56.0,60.0,25.6,13.8,3,2.0,4,0
336,1735.0,36.0,56.0,60.0,25.6,13.8,3,2.0,4,0
337,1732.0,36.0,56.0,60.0,25.6,13.8,3,2.0,4,0
338,1728.0,36.0,56.0,60.0,25.6,13.8,3,2.0,4,0
339,1724.0,36.0,56.0,60.0,25.6,13.8,3,2.0,4,0
340,1720.0,37.0,56.0,61.0,25.6,13.8,3,2.0,4,0
341,1718.0,37.0,56.0,60.0,25.6,13.8,3,2.0,4,0
342,1716.0,37.0,56.0,60.0,25.6,13.8,3,2.0,4,0
343,1714.0,38.0,56.0,61.0,25.6,13.8,3,2.0,4,0
344,1712.0,37.0,55.0,60.0,25.6,13.8,3,2.0,4,0
345,1710.0,37.0,55.0,60.0,25.6,13.8,3,2.0,4,0
346,1707.0,37.0,55.0,60.0,25.6,13.8,3,2.0,4,0
347,1705.0,37.0,55.0,60.0,25.6,13.8,3,2.0,4,0
348,1702.0,37.0,55.0,60.0,25.6,13.8,3,2.0,4,0
349,1699.0,37.0,56.0,60.0,25.6,13.8,3,2.0,4,0
350,1697.0,37.0,56.0,60.0,25.5,13.8,3,2.0,4,0
351,1695.0,37.0,56.0,60.0,25.5,13.8,3,2.0,4,0
352,1692.0,37.0,57.0,60.0,25.5,13.8,3,2.0,4,0
353,1688.0,38.0,57.0,60.0,25.5,13.8,3,2.0,4,0
354,1685.0,38.0,57.0,61.0,25.5,13.8,3,2.0,4,0
355,1682.0,38.0,57.0,61.0,25.5,13.7,3,2.0,4,0
356,1680.0,38.0,57.0,61.0,25.5,13.7,3,2.0,4,0
357,1677.0,38.0,57.0,61.0,25.4,13.7,3,2.0,4,0
358,1675.0,38.0,57.0,60.0,25.4,13.7,3,2.0,4,0
359,1671.0,38.0,57.0,60.0,25.4,13.7,3,2.0,4,0
360,1668.0,37.0,56.0,60.0,25.4,13.7,3,2.0,4,0
361,1666.0,37.0,56.0,60.0,25.4,13.6,3,2.0,4,0
362,1662.0,37.0,57.0,60.0,25.3,13.6,3,2.0,4,0
363,1657.0,39.0,59.0,61.0,25.3,13.6,3,2.0,4,0
364,1651.0,38.0,58.0,60.0,25.3,13.6,3,2.0,4,0
