,CO2 (ppm),PM1 (ug/m3),PM2.5 (ug/m3),PM10 (ug/m3),Temperature (C),Humidity (%),Sound (dB),Position,Floor No.,Weather,Occupancy_Classified
256,1874.0,40.0,60.0,62.0,25.8,13.9,75.7,middle,2.0,sunny,2
257,1875.0,40.0,60.0,62.0,25.8,13.9,79.7,middle,2.0,sunny,2
258,1876.0,41.0,60.0,62.0,25.8,13.9,82.6,middle,2.0,sunny,2
259,1876.0,41.0,60.0,62.0,25.8,13.9,79.7,middle,2.0,sunny,2
260,1877.0,41.0,59.0,62.0,25.8,13.9,72.9,middle,2.0,sunny,2
261,1878.0,41.0,59.0,62.0,25.8,13.9,71.7,middle,2.0,sunny,2
262,1880.0,41.0,59.0,62.0,25.8,13.9,76.8,middle,2.0,sunny,2
263,1883.0,41.0,59.0,62.0,25.8,13.9,73.0,middle,2.0,sunny,2
264,1886.0,41.0,59.0,62.0,25.8,13.9,71.9,middle,2.0,sunny,2
265,1890.0,40.0,58.0,62.0,25.8,13.9,74.3,middle,2.0,sunny,2
266,1894.0,39.0,59.0,63.0,25.8,13.9,71.6,middle,2.0,sunny,2
267,1898.0,39.0,59.0,63.0,25.9,13.9,75.4,middle,2.0,sunny,2
268,1901.0,39.0,59.0,62.0,25.9,13.9,79.5,middle,2.0,sunny,2
269,1905.0,39.0,59.0,62.0,25.9,13.9,72.9,middle,2.0,sunny,2
270,1909.0,38.0,59.0,61.0,25.9,13.9,71.0,middle,2.0,sunny,2
271,1912.0,38.0,58.0,61.0,25.9,13.9,77.6,middle,2.0,sunny,2
272,1916.0,37.0,56.0,60.0,26.0,13.9,72.8,middle,2.0,sunny,2
273,1920.0,37.0,56.0,60.0,26.0,13.9,70.7,middle,2.0,sunny,2
274,1924.0,38.0,56.0,60.0,26.0,13.9,76.1,middle,2.0,sunny,2
275,1928.0,37.0,56.0,60.0,26.0,13.9,71.4,middle,2.0,sunny,2
276,1932.0,37.0,56.0,60.0,26.0,13.9,77.0,middle,2.0,sunny,2
277,1933.0,37.0,56.0,60.0,26.0,13.9,71.7,middle,2.0,sunny,2
278,1934.0,36.0,56.0,61.0,26.0,13.9,76.1,middle,2.0,sunny,2
279,1934.0,36.0,56.0,61.0,26.0,13.9,77.1,middle,2.0,sunny,2
280,1934.0,36.0,56.0,61.0,25.9,13.9,72.9,middle,2.0,sunny,2
281,1934.0,37.0,57.0,63.0,25.9,13.9,84.7,middle,2.0,sunny,2
282,1931.0,37.0,58.0,63.0,25.9,13.9,68.8,middle,2.0,sunny,2
283,1929.0,36.0,57.0,63.0,26.0,13.9,69.2,middle,2.0,sunny,2
284,1927.0,37.0,58.0,65.0,25.9,13.9,78.4,middle,2.0,sunny,2
285,1924.0,36.0,57.0,64.0,25.9,13.9,72.6,middle,2.0,sunny,2
286,1920.0,37.0,58.0,65.0,25.9,13.9,72.6,middle,2.0,sunny,2
287,1917.0,38.0,58.0,64.0,25.9,13.9,76.3,middle,2.0,sunny,2
288,1914.0,38.0,58.0,64.0,25.8,13.9,70.8,middle,2.0,sunny,2
289,1912.0,37.0,57.0,62.0,25.9,13.9,74.8,middle,2.0,sunny,2
290,1911.0,37.0,58.0,62.0,25.8,13.9,77.4,middle,2.0,sunny,2
291,1910.0,37.0,58.0,61.0,25.8,13.9,76.1,middle,2.0,sunny,2
292,1908.0,36.0,57.0,60.0,25.8,13.9,75.9,middle,2.0,sunny,2
293,1907.0,37.0,58.0,61.0,25.8,13.9,77.4,middle,2.0,sunny,2
294,1920.0,36.0,57.0,60.0,25.9,13.9,74.2,middle,2.0,sunny,2
295,2050.0,37.0,58.0,61.0,25.9,13.9,72.8,middle,2.0,sunny,2
296,2122.0,36.0,58.0,61.0,25.9,13.9,77.7,middle,2.0,sunny,1
297,2161.0,36.0,58.0,61.0,25.8,13.9,72.9,middle,2.0,sunny,1
298,2166.0,38.0,59.0,62.0,25.8,13.9,71.7,middle,2.0,sunny,1
299,2166.0,38.0,59.0,62.0,25.8,13.9,74.2,middle,2.0,sunny,1
300,2166.0,37.0,58.0,61.0,25.8,13.9,71.5,middle,2.0,sunny,1
301,2146.0,38.0,58.0,61.0,25.8,13.9,71.8,middle,2.0,sunny,1
302,2102.0,37.0,57.0,60.0,25.8,13.9,76.3,middle,2.0,sunny,1
303,2067.0,37.0,56.0,59.0,25.8,13.9,69.0,middle,2.0,sunny,1
304,2044.0,37.0,56.0,58.0,25.7,13.9,84.3,middle,2.0,sunny,1
305,2024.0,37.0,55.0,58.0,25.7,13.8,72.8,middle,2.0,sunny,1
